Проверка зависимостей|OK|Лог: ./.local/logs/bootstrap/run-20251016-203847/steps/00__.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251016-203847/steps/00__.log
Синхронизация .env|OK|Лог: ./.local/logs/bootstrap/run-20251016-203847/steps/01__env.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251016-203847/steps/01__env.log
Проверка .env|OK|Файл найден|
Проверка портов .env|FAIL|Код 1. Лог: ./.local/logs/bootstrap/run-20251016-203847/steps/03__env.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251016-203847/steps/03__env.log
docker compose up -d|OK|Лог: ./.local/logs/bootstrap/run-20251016-203847/steps/04_docker_compose_up_-d.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251016-203847/steps/04_docker_compose_up_-d.log
Запуск backend-профиля|FAIL|Код 1. Лог: ./.local/logs/bootstrap/run-20251016-203847/steps/05__backend-_.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251016-203847/steps/05__backend-_.log
Smoke-проверка BACKUP_*|OK|Лог: ./.local/logs/bootstrap/run-20251016-203847/steps/06_Smoke-_BACKUP_.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251016-203847/steps/06_Smoke-_BACKUP_.log
Smoke-проверка backup без S3|FAIL|Код 1. Лог: ./.local/logs/bootstrap/run-20251016-203847/steps/07_Smoke-_backup_S3.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251016-203847/steps/07_Smoke-_backup_S3.log
Ожидание готовности docker compose|OK|Лог: ./.local/logs/bootstrap/run-20251016-203847/steps/08__docker_compose.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251016-203847/steps/08__docker_compose.log
Ожидание готовности backend-сервисов|FAIL|Код 1. Лог: ./.local/logs/bootstrap/run-20251016-203847/steps/09__backend-_.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251016-203847/steps/09__backend-_.log
Bootstrap RabbitMQ|FAIL|Код 1. Лог: ./.local/logs/bootstrap/run-20251016-203847/steps/10_Bootstrap_RabbitMQ.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251016-203847/steps/10_Bootstrap_RabbitMQ.log
Миграции CRM/Auth|FAIL|Код 1. Лог: ./.local/logs/bootstrap/run-20251016-203847/steps/11__CRM_Auth.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251016-203847/steps/11__CRM_Auth.log
Запуск локальных backend-процессов|SKIP|флаг --with-backend не передан|
Запуск фронтенда|OK|Лог: ./.local/logs/bootstrap/run-20251016-203847/steps/13__.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251016-203847/steps/13__.log
Загрузка seed-данных|FAIL|Код 1. Лог: ./.local/logs/bootstrap/run-20251016-203847/steps/14__seed-_.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251016-203847/steps/14__seed-_.log
Проверка локальной инфраструктуры|FAIL|Код 1. Лог: ./.local/logs/bootstrap/run-20251016-203847/steps/15__.log|/c/Dev/CRM_2.0/.local/logs/bootstrap/run-20251016-203847/steps/15__.log
